Country name,City name,Airport Code,Airport Name,Country Abbrev.,World Area Code
United States,Oscoda,OSC,Wurtsmith AFB,US,67
United States,Oshkosh,OKS,Oshkosh,US,67
United States,Oshkosh,OSH,Wittman Field,US,67
United States,Oskaloosa,OOA,Municipal,US,67
United States,Otto,OTO,Vor,US,67
United States,Ottumwa,OTM,Industrial,US,67
United States,Ouzinkie,KOZ,Ouzinkie SPB,US,67
United States,Owatonna,OWA,Owatonna,US,67
United States,Owensboro,OWB,Daviess County,US,67
United States,Oxford,OXC,Waterbury-Oxford,US,67
United States,Oxford,UOX,University-Oxford,US,67
United States,Oxford,OXD,Miami University,US,67
United States,Ozark,OZR,Cairns AAF,US,67
United States,Ozark,HEY,Hanchey Army Heliport,US,67
United States,Ozark,LOR,Lowe Army Heliport,US,67
United States,Ozona,OZA,Ozona Municipal,US,67
United States,Pacific City,PFC,State,US,67
United States,Pack Creek,PBK,Pack Creek,US,67
United States,Paducah,PAH,Barkley Regional,US,67
United States,Paf Warren,PFA,Paf Warren,US,67
United States,Page,PGA,Page,US,67
United States,Pagosa Springs,PGO,Stevens Field,US,67
United States,Pahokee,PHK,Palm Beach Co Glades,US,67
United States,Paimiut,PMU,SPB,US,67
United States,Painesville,PVZ,Casement,US,67
United States,Painter Creek,PCE,Painter Creek,US,67
United States,Palacios,PSX,Palacios,US,67
United States,Palestine,PSN,Palestine,US,67
United States,Palm Springs,UDD,Bermuda Dunes,US,67
United States,Palm Springs,PSP,Municipal,US,67
United States,Palmdale,PMD,Air Force 42,US,67
United States,Palmer,PAQ,Municipal,US,67
United States,Palmer,PMX,Metropolitan,US,67
United States,Palo Alto,PAO,Palo Alto,US,67
United States,Pampa,PPA,Perry Lefors Field,US,67
United States,Panama City,PFN,Bay County,US,67
United States,Panama City,PAM,Tyndall AFB,US,67
United States,Panguitch,PNU,Panguitch,US,67
United States,Paonia,WPO,North Fork Valley,US,67
United States,Paragould,PGR,Municipal,US,67
United States,Paris,PHT,Henry County,US,67
United States,Paris,PRX,Cox Field,US,67
United States,Park Falls,PKF,Park Falls,US,67
United States,Park Rapids,PKD,Park Rapids,US,67
United States,Parkersburg,PKB,Wood County,US,67
United States,Parks,KPK,Parks SPB,US,67
United States,Parsons,PPF,Tri-City,US,67
United States,Pasadena,JPD,Heliport,US,67
United States,Pascagoula,PGL,Jackson County,US,67
United States,Pasco,PSC,Tri-Cities,US,67
United States,Paso Robles,PRB,Paso Robles,US,67
United States,Patterson,PTN,Williams Memorial,US,67
United States,Patuxent River,NHK,NAS,US,67
United States,Pauloff Harbor,KPH,Pauloff Harbor SPB,US,67
United States,Payson,PJB,Payson,US,67
United States,Peach Springs,PGS,Peach Springs,US,67
United States,Pecos City,PEQ,Pecos City,US,67
United States,Pedro Bay,PDB,Pedro Bay,US,67
United States,Pelican,PEC,Pelican SPB,US,67
United States,Pell City,PLR,St Clair County,US,67
United States,Pellston,PLN,Emmet County,US,67
United States,Pembina,PMB,Intermediate,US,67
